"cytoRiskIntermediate"	"cytoRiskPoor"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"MED12L|116931_calculated"	0.942414556794985	1.54719948581018	2.76138644166245	35.7609579881021	9.21101998613225e-14	2.29034196711266e-11
"DEPDC7|91614_calculated"	-1.00981730440751	-1.26479529453556	2.67822712670163	35.7511635531986	9.27542119574649e-14	2.29034196711266e-11
"LOC158696|158696_calculated"	-0.241736637984537	-0.283888265574207	2.13392116044941	35.4981119857248	1.1106955446522e-13	2.70914897421812e-11
"RAB5B|5869_calculated"	-0.694207823488114	-0.73986305837498	4.73620709439694	35.0496509942716	1.52997783045961e-13	3.68687790205092e-11
"SLC24A3|57419_calculated"	-1.71443634498217	-1.63010779790331	5.15326350807234	34.738628343634	1.91181771474556e-13	4.55217453721737e-11
"MYCT1|80177_calculated"	0.347113399018135	1.69042113435837	2.28616123442101	34.2578923517861	2.70078369573427e-13	6.25741306369198e-11
"CNNM1|26507_calculated"	0.545725747675011	0.626330393173136	2.74377150771035	34.250663098733	2.71487996799441e-13	6.25741306369198e-11
"SAMD11|148398_calculated"	-0.903013139583685	-0.631386569452823	5.3353590890669	34.2471083623699	2.72183859077647e-13	6.25741306369198e-11
"TM6SF1|53346_calculated"	-1.32310423516419	-1.291564860074	4.13218535369882	34.1770202858563	2.86278559471253e-13	6.50665621361879e-11
"SHANK1|50944_calculated"	-1.85543460056921	-1.6432297767026	3.47719201199985	34.0919277627604	3.04387060639333e-13	6.84050067398573e-11
"FNDC3B|64778_calculated"	-1.10370925913903	-1.22839861390577	2.11578875873585	34.0087807489681	3.23200816464466e-13	7.13693821747875e-11
"CEBPE|1053_calculated"	-1.71458725246444	-1.66408985363792	6.21808626915363	34.0023054403019	3.24714453172624e-13	7.13693821747875e-11
"TGIF1|7050_calculated"	-0.462354163932367	-1.06423865701598	2.11448629476616	33.8312696655307	3.67399167250422e-13	7.98733776540837e-11
"PPP1R13L|10848_calculated"	0.322305732225899	0.667561733744854	5.44878784935245	33.8120661359766	3.72533266491052e-13	8.0118686699866e-11
"C7orf50|84310_calculated"	0.763225351436523	0.241652746440264	6.67583391760053	33.7591319737372	3.8706418762811e-13	8.16896478434962e-11
"FAM164A|51101_calculated"	0.588758164613606	0.79449665184045	4.72932480228692	33.7557692337175	3.8800642693526e-13	8.16896478434962e-11
"GSTK1|373156_calculated"	0.119954705976941	-0.688295479958374	2.1425313138085	33.4482028601169	4.84775565799316e-13	1.00999959287001e-10
"STYXL1|51657_calculated"	-0.0357600918453738	-0.566818174249572	7.06866821179986	33.117993938694	6.16075958725064e-13	1.26775876496481e-10
"ZFHX3|463_calculated"	-1.08273101231911	-1.09569217562093	2.20421891242858	33.1066636838283	6.21170736295943e-13	1.26775876496481e-10
"SNORD114-9|767585_calculated"	-0.303071743088153	-0.349515924313405	2.81529194749118	33.0709141020411	6.37526996320995e-13	1.28799772256729e-10
"C6orf125|84300_calculated"	0.278282079754971	0.643251756204987	5.52955715030295	32.9817039317092	6.80268520714363e-13	1.3606050682808e-10
"LRRC8A|56262_calculated"	-0.680664083186027	-0.463158943941582	6.11511127420262	32.8492272471523	7.49149569363404e-13	1.48353866701361e-10
"SLC25A13|10165_calculated"	0.0988709838645999	-0.399454052420633	7.59166932902457	32.7715126894857	7.92798212583426e-13	1.55458402449815e-10
"MKRN1|23608_calculated"	0.0479965123161136	-0.55167247000153	4.38525180528732	32.5944032057105	9.02134250192888e-13	1.75180457651534e-10
"F12|2161_calculated"	0.619309894543577	0.587727488670701	4.60605654117254	32.4994347067904	9.669215203323e-13	1.85955743540061e-10
"MICALL2|79778_calculated"	-0.781475619058154	-1.42716402605272	5.07617976326242	32.1569604061289	1.24224460634616e-12	2.36629851157425e-10
"CERCAM|51148_calculated"	-1.46460164044122	-1.28330115091198	5.51817956978334	32.0198498183273	1.37359517465555e-12	2.59181859323449e-10
"SNORD114-24|767604_calculated"	-0.281410157476253	-0.318694255014767	5.33145354619459	31.9688959312605	1.42591469949404e-12	2.66539438360563e-10
"DAGLB|221955_calculated"	-0.554053076883161	-0.72494120130491	3.4234646417767	31.8568567965065	1.54815838798043e-12	2.86710332574042e-10
"SLC22A16|85413_calculated"	-0.972537326305708	-0.694209268739379	2.13514524157847	31.8132144812041	1.59859723036859e-12	2.93335258757817e-10
"RBFOX2|23543_calculated"	0.289636473875159	0.964077416573031	6.1770433930488	31.7847437594672	1.63239441581187e-12	2.96813824642302e-10
"MXRA7|439921_calculated"	-1.0983569592883	-0.554394014339747	6.26064287421617	31.6858333172847	1.75552815901462e-12	3.16327195571634e-10
"FAM53B|9679_calculated"	0.539656628193612	0.445606462645516	4.49516933271855	31.5967444564664	1.87446241158761e-12	3.34742166912176e-10
"DLGAP4|22839_calculated"	-0.368216252732462	-0.649419435398719	4.79604617030229	31.5053034628411	2.00502296477124e-12	3.54889064764509e-10
"CD109|135228_calculated"	0.788618952514281	1.80528330220521	3.8362252943787	31.3696690337188	2.21582835813459e-12	3.88761254307456e-10
"LOXL4|84171_calculated"	-1.2464777255071	-1.23972693664164	2.52193282121788	31.3385529867006	2.2672705901269e-12	3.94327644114158e-10
"MMP14|4323_calculated"	-1.89378954928119	-1.77232760996678	6.3842916163428	31.3070830348164	2.32052685333858e-12	4.00110841324353e-10
"MYH11|4629_calculated"	-0.516170532501432	-0.527787288554739	2.11408365116613	31.2880571601637	2.35333601661957e-12	4.02299774943659e-10
"ASTN1|460_calculated"	-0.195711462336807	-0.240972159569624	2.18437969048249	31.2671707722554	2.38989408187381e-12	4.05087046877611e-10
"TMEM184B|25829_calculated"	-0.67121031490822	-0.476515179937039	2.79520823538171	31.2553342890116	2.41086626961095e-12	4.05207867718391e-10
"ORAI2|80228_calculated"	-0.357088931051506	-0.886642399353246	5.19399773177109	31.0817743423116	2.74065990139034e-12	4.56799489064235e-10
"IL17RE|132014_calculated"	-2.07755478221536	-1.56717900565668	2.24253212152896	30.8504720917081	3.25228337205347e-12	5.37594377887946e-10
"PDIA4|9601_calculated"	-0.596385402993101	-0.978714934814469	6.26014173203709	30.8054570132789	3.36257206028996e-12	5.51268883425078e-10
"EPGN|255324_calculated"	1.20990298708822	1.15302624729048	6.72857516401129	30.720836090638	3.58024306350284e-12	5.82182451326182e-10
